event_date,region,plan,channel,invoice_id,seats,unit_price,line_total,invoice_total
2026-06-17,South,Digital Basic,partner,INV-4102,1,12.0,12.0,34.0
2026-06-17,South,Digital Plus,partner,INV-4102,1,22.0,22.0,34.0
2026-05-23,South,Print + Digital,campus desk,INV-4105,10,34.0,340.0,408.0
2026-05-23,South,Print + Digital,campus desk,INV-4105,2,34.0,68.0,408.0
2026-05-14,South,Newsroom Pro,partner,INV-4106,5,5900.0,29500.0,29500.0
2026-06-24,Midwest,Digital Basic,partner,INV-4109,1,12.0,12.0,12.0
2026-06-23,Midwest,Print + Digital,campus desk,INV-4112,1,34.0,34.0,108.0
2026-06-23,Midwest,Campus,campus desk,INV-4112,5,8.0,40.0,108.0
2026-06-23,Midwest,Print + Digital,campus desk,INV-4112,1,34.0,34.0,108.0
4/9/2026,Northeast,Digital Basic,campus desk,INV-4113,1,12.0,12.0,12.0
4/6/2026,Midwest,Print + Digital,partner,INV-4116,5,34.0,170.0,170.0
2026-04-08,Midwest,Digital Basic,app store,INV-4118,1,12.0,12.0,56.0
2026-04-08,Midwest,Digital Plus,app store,INV-4118,2,22.0,44.0,56.0
2026-04-19,South,Campus,app store,INV-4121,5,8.0,40.0,40.0
2026-04-04,International,Print + Digital,app store,INV-4123,1,34.0,34.0,584.0
2026-04-04,International,Digital Plus,app store,INV-4123,25,22.0,550.0,584.0
2026-04-05,International,Campus,campus desk,INV-4124,5,8.0,40.0,380.0
2026-04-05,International,Print + Digital,campus desk,INV-4124,10,34.0,340.0,380.0
2026-06-25,West,Digital Basic,app store,INV-4125,1,12.0,12.0,12.0
2026-06-16,International,Digital Plus,campus desk,INV-4126,1,22.0,22.0,90.0
2026-06-16,International,Digital Basic,campus desk,INV-4126,1,12.0,12.0,90.0
2026-06-16,International,Campus,campus desk,INV-4126,5,8.0,40.0,90.0
2026-06-16,International,Campus,campus desk,INV-4126,2,8.0,16.0,90.0
4/21/2026,International,Campus,app store,INV-4127,1,8.0,8.0,8.0
2026-05-27,Northeast,Campus,app store,INV-4128,25,8.0,200.0,234.0
2026-05-27,Northeast,Print + Digital,app store,INV-4128,1,34.0,34.0,234.0
2026-04-18,Northeast,Digital Plus,partner,INV-4129,2,22.0,44.0,44.0
2026-06-11,South,Campus,direct,INV-4132,2,8.0,16.0,16.0
2026-05-03,Northeast,Digital Basic,app store,INV-4133,1,12.0,12.0,71.0
2026-05-03,Northeast,Newsroom Pro,app store,INV-4133,1,59.0,59.0,71.0
2026-06-05,International,Newsroom Pro,partner,INV-4134,5,59.0,295.0,295.0
4/22/2026,Northeast,Print + Digital,campus desk,INV-4136,1,34.0,34.0,34.0
2026-06-21,International,Digital Plus,direct,INV-4138,1,22.0,22.0,22.0
2026-06-27,West,Digital Basic,campus desk,INV-4141,1,12.0,12.0,12.0
2026-06-30,Northeast,Digital Basic,direct,INV-4144,5,12.0,60.0,678.0
2026-06-30,Northeast,Print + Digital,direct,INV-4144,2,34.0,68.0,678.0
2026-06-30,Northeast,Digital Plus,direct,INV-4144,25,22.0,550.0,678.0
2026-04-12,Northeast,Print + Digital,app store,INV-4145,2,34.0,68.0,76.0
2026-04-12,Northeast,Campus,app store,INV-4145,1,8.0,8.0,76.0
2026-04-03,Midwest,Campus,direct,INV-4147,25,8.0,200.0,978.0
2026-04-03,Midwest,Digital Plus,direct,INV-4147,25,22.0,550.0,978.0
2026-04-03,Midwest,Digital Plus,direct,INV-4147,5,22.0,110.0,978.0
2026-04-03,Midwest,Newsroom Pro,direct,INV-4147,2,59.0,118.0,978.0
2026-05-11,West,Campus,partner,INV-4149,5,8.0,40.0,108.0
2026-05-11,West,Print + Digital,partner,INV-4149,2,34.0,68.0,108.0
2026-05-04,International,Newsroom Pro,campus desk,INV-4152,1,59.0,59.0,59.0
2026-06-01,Northeast,Campus,direct,INV-4154,1,8.0,8.0,8.0
2026-06-08,West,Digital Plus,app store,INV-4155,10,22.0,220.0,280.0
2026-06-08,West,Digital Basic,app store,INV-4155,5,12.0,60.0,280.0
2026-04-16,South,Print + Digital,app store,INV-4158,1,34.0,34.0,34.0
2026-04-27,Northeast,Campus,campus desk,INV-4160,1,8.0,8.0,147.0
2026-04-27,Northeast,Campus,campus desk,INV-4160,10,8.0,80.0,147.0
2026-04-27,Northeast,Newsroom Pro,campus desk,INV-4160,1,59.0,59.0,147.0
2026-04-11,Northeast,Digital Plus,campus desk,INV-4162,1,22.0,22.0,22.0
2026-05-18,West,Campus,direct,INV-4163,2,8.0,16.0,16.0
2026-04-29,Northeast,Campus,app store,INV-4166,1,8.0,8.0,8.0
2026-04-24,Midwest,Digital Plus,campus desk,INV-4169,1,22.0,22.0,44.0
2026-04-24,Midwest,Digital Plus,campus desk,INV-4169,1,22.0,22.0,44.0
2026-05-26,South,Digital Basic,partner,INV-4171,1,12.0,12.0,28.0
2026-05-26,South,Campus,partner,INV-4171,2,8.0,16.0,28.0
2026-05-09,Northeast,Digital Plus,app store,INV-4172,1,22.0,22.0,22.0
2026-04-23,Midwest,Print + Digital,campus desk,INV-4175,1,34.0,34.0,34.0
2026-05-10,Midwest,Digital Basic,app store,INV-4177,1,12.0,12.0,12.0
2026-05-25,South,Newsroom Pro,direct,INV-4179,10,59.0,590.0,590.0
2026-05-16,West,Campus,app store,INV-4182,25,8.0,200.0,234.0
2026-05-16,West,Digital Plus,app store,INV-4182,1,22.0,22.0,234.0
2026-05-16,West,Digital Basic,app store,INV-4182,1,12.0,12.0,234.0
2026-06-13,South,Digital Plus,campus desk,INV-4184,1,22.0,22.0,90.0
2026-06-13,South,Print + Digital,campus desk,INV-4184,2,34.0,68.0,90.0
2026-06-02,International,Print + Digital,app store,INV-4187,2,34.0,68.0,178.0
2026-06-02,International,Digital Plus,app store,INV-4187,5,22.0,110.0,178.0
2026-05-31,International,Digital Basic,campus desk,INV-4190,5,12.0,60.0,60.0
2026-06-12,Midwest,Campus,direct,INV-4192,2,8.0,16.0,28.0
2026-06-12,Midwest,Digital Basic,direct,INV-4192,1,12.0,12.0,28.0
